ResponseId,MID,treatment,t1,t2,t3,t4,t1n,t2n,average score,best_tip,best_tips,best_tip_open,post_diff,post_similar,post_age,post_gender,post_edu,post_strategy,post_strategy2,post_prioritize,post_change2,Group #,Dim. 1,Dim. 2 (Advantage),Dim. 3 (Explanation),Dim. 4 (Negative / Positive)
R_1guQ7Dv92ma7uPA,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3NzjqoZpWmdZsD0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1QAPvmjaDK2co3E,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3HitM2jBSqVLwYl,,,,,,,,,,,,,,,,,,,,,,,,,,
R_29427dAx2B06Gnn,,,,,,,,,,,,,,,,,,,,,,,,,,
R_Tkr5GWgP2jiS7OV,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3iWFCFz99iRriQd,,,,,,,,,,,,,,,,,,,,,,,,,,
R_XA5IsgFPztgocXD,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3jVaXMWbYHR33to,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3M3QMCkcN14arot,,,,,,,,,,,,,,,,,,,,,,,,,,
R_PIgyoAqiQLgzBbX,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3GDj8znHOW2wnPB,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1IAyv9UWH2cdOei,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2ePxcnig3ySQTOV,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2diKmopllzDCf7c,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1ILuNsNkXNGZHgO,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1NyORhha92ShUVJ,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2qykfrWYGHb7aIO,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2uy1KlCbkcxW5lE,,,,,,,,,,,,,,,,,,,,,,,,,,
R_XhryR3icf9CdPO1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3QEKWLEvxrSvf75,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1hFE9uMXb1Wlp1H,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3ssnQBSjpqkbRiQ,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1FFEmriqawo751K,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3h6cv319sXvnFHs,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2QWnJi3M6LpqUH9,,t1,,,,,,,,,,,,,,,,,,,,,,,,
R_2ypgoh2f2tpygT7,,t1,25,25,,,,,,,,,,,,,,,,,,,,,,
R_0rpSmV5kSUphP8Z,,t1,26,25,,,,,,,,,,,,,,,,,,,,,,
R_1HkjKMrsVhyjxiz,,,,,,,,,,,,,,,,,,,,,,,,,,
R_24C2NpCuun1SGKx,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2VvVvWzU3W3pNxX,,,,,,,,44,,,,,,,,,,,,,,,,,,
R_3gLuhhVHNlJEQkG,,,,,,,,48,,,,,,,,,,,,,,,,,,
R_cNDfebZvMjTp8zv,,t1,51,,,,,,,Chef shouldn't plate,,e,Moderately difficult,,19,Female,High school graduate,,,,,1,,,,
R_1N9BntMC65Uo6Jd,,t1,29,41,,,,,,Only Server should plate,Chef shouldn't plate,gnc,Neither easy nor difficult,,20,Female,Less than high school,,,,,1,,,,
R_tEAxrJOsPTNSNz3,,t1,22,21,,,,,,,,,,,,,,,,,,,,,,
R_31MzlJwlQK59C8O,,t1,31,33,,,,,,,,,,,,,,,,,,,,,,
R_3HH7y0bGp3SJMO7,,t1,28,24,,,,,,,,,,,,,,,,,,,,,,
R_2ctq8V6PPAHOwlk,,t1,51,,,,,39,,,,,,,,,,,,,,,,,,
R_3JgBUFiio9qVys6,,t1,51,,,,,39,,,,,,,,,,,,,,,,,,
R_12fo5CKsyZ8kC4x,,t1,27,24,,,,,,Chef shouldn't chop,"Chef shouldn't chop,Chef shouldn't plate,Sous-Chef shouldn't cook,Sous-Chef shouldn't plate",None,Slightly difficult,,28,Male,4 year degree,,,,,1,,,,
R_qWRQoA4pWO034Z3,,t1,51,,,,,40,,Server shouldn't cook,"Server shouldn't cook,Only Server should plate",Just try different things.,Moderately difficult,,23,Female,4 year degree,,,,,2,,,,
R_DGIMIfiJajDuFYR,,t1,40,44,,,,,,,,,,,,,,,,,,,,,,
R_RFE8OT9gZ1LiY0h,,t1,25,24,,,,,,Server shouldn't cook,"Chef shouldn't plate,Sous-Chef shouldn't plate,Server shouldn't cook,Only Chef should cook,Only Server should plate,Sous-Chef should cook only once,Chef should chop as long as there is no cooking task",Let the chefs do all the cooking.,Moderately difficult,,43,Female,High school graduate,,,,,3,K4,A0,E0,N0
R_2VPw3vHS0HPWWTm,,t1,37,26,,,,41,,,,,,,,,,,,,,,,,,
R_Du6OPkaPvSzyPBv,,t1,31,34,,,,,,,,,,,,,,,,,,,,,,
