ResponseId,MID,treatment,t1,t2,t3,t4,t1n,t2n,average score,best_tip,best_tips,best_tip_open,post_diff,post_similar,post_age,post_gender,post_edu,post_strategy,post_strategy2,post_prioritize,post_change2,Group #,Dim. 1,Dim. 2 (Advantage),Dim. 3 (Explanation),Dim. 4 (Negative / Positive)
R_0IcuUZHN9dKfH0Z,A14DCK7K1XGW5W,b1,38,37,38,38,20,22,32.16666667,Server should chop only in the first tick,"Server should chop once / Sous-Chef should chop three times,Server should plate three times / Sous-Chef should plate once",Don't have the server cook.,Slightly difficult,Once in a while,45,Male,4 year degree,Try to get done in as few steps as possible,"Intentionally leave some workers idle,Learn who is faster at what first and then assign task to worker who does it the fastest.",Tried to keep workers working at the same time and time it so they would finish different tasks at the same time.,Tried to figure out who did what best.,3,K0,D0,E0,N1
R_0VXJLbkyY71lN4J,A27D14877956QN,b1,50,35,39,41,25,21,35.16666667,Server and Sous-Chef should chop two times each,Server and Sous-Chef should chop two times each,its is very nice one,Slightly difficult,Once in a while,28,Female,4 year degree,its very nice,"Assign as many tasks as possible to one worker,Learn who is faster at what first and then assign task to worker who does it the fastest.",i did some calcualations to prioritize,4,1,,,,
R_125AKwC51ygjjQk,A1ZJE1T7Q75321,b1,38,38,38,39,20,20,32.16666667,Server should plate three times / Sous-Chef should plate once,"Server shouldn't cook / Sous-Chef should do all cooking,Server should cook once / Sous-Chef should cook three times,Server should plate three times / Sous-Chef should plate once",Server should not cook unless no other tasks.,Slightly difficult,Never,31,Female,4 year degree,I tried to remember which worker did certain tasks quicker.,"Intentionally leave some workers idle,Assign the same task to the same worker,Learn who is faster at what first and then assign task to worker who does it the fastest.",I tried to use the worker who did the task quicker but sometimes it didn't work out with the available task.,I applied the same ideas to rounds 3-6.,3,K0,D0,E0,N1
R_12Dt0DJZNmFiKry,A1GY87GUXSZHI6,b1,50,50,50,50,50,50,50,Keep everyone busy at all time / Do not leave anyone idle,Keep everyone busy at all time / Do not leave anyone idle,only Sous-Chef and Server avaliable,Moderately difficult,Never,52,Female,4 year degree,consistency,Learn who is faster at what first and then assign task to worker who does it the fastest.,Faster workers received priority of various tasks.,consistency,1,,,,
R_12QMTavRK76D6Gq,A2NKKK7A05G50G,b1,39,36,38,38,20,20,31.83333333,Server and Sous-Chef should plate two times each,"Server and Sous-Chef should cook two times each,Server and Sous-Chef should plate two times each",Keep in mind how much quicker the sous-chef can cook burgers.,Slightly difficult,Never,21,Male,Some college,"Allocate the tasks to whoever finishes them fastest, even if you have to wait a tick or two for them to be available.","Keep all workers busy,Intentionally leave some workers idle,Assign the same task to the same worker,Learn who is faster at what first and then assign task to worker who does it the fastest.","Servers plated, sous-chefs and chefs prepared food.",The server then had to be incorporated in to some cooking.,3,M1,A0,E1,N0
R_1CD6BNz60AChffd,A3O7GT3O7ONBC3,b1,40,44,43,41,31,38,39.5,Server should chop once / Sous-Chef should chop three times,"Server should chop once / Sous-Chef should chop three times,Server and Sous-Chef should chop two times each,Server should chop three times / Sous-Chef should chop once,Server shouldn't cook / Sous-Chef should do all cooking,Server should cook once / Sous-Chef should cook three times,Server and Sous-Chef should cook two times each,Server should cook three times / Sous-Chef should cook once,Server should plate once / Sous-Chef should plate three times,Server and Sous-Chef should plate two times each,Server should plate three times / Sous-Chef should plate once,Server should do all plating / Sous-Chef shouldn't plate,Server should chop only in the first tick,Sous-Chef should chop twice before starting to cook,Keep everyone busy at all time / Do not leave anyone idle",carefully,Slightly easy,4-6 times a week,43,Male,4 year degree,interesting,"Keep all workers busy,Assign the same task to the same worker",very interesting,6,1,,,,
R_1DG9eHkrle0LiV8,A3S0IC3M8RZ54U,b1,38,40,40,37,25,25,34.16666667,Server should plate once / Sous-Chef should plate three times,Server shouldn't cook / Sous-Chef should do all cooking,Dont waste your workers,Moderately difficult,Once in a while,31,Male,2 year degree,Not sure,Assign the same task to the same worker,Trying to get it done fast,Tried to adapt to fill the orders fast enough,2,,,,N1
R_1DNEZW0X7kvJWca,A2RYEP12UU4SL5,b1,38,44,38,38,24,22,34,Keep everyone busy at all time / Do not leave anyone idle,"Server shouldn't cook / Sous-Chef should do all cooking,Keep everyone busy at all time / Do not leave anyone idle",Don't leave anyone idle,Moderately difficult,Once a week,26,Female,2 year degree,assign items to whoever completed them faster and to always have someone doing something,"Keep all workers busy,Learn who is faster at what first and then assign task to worker who does it the fastest.","depending on how quickly they do something, assign them what their strengths are and also always keep them working",I switched to trying to keep both workers busy and figure out what strategy was best,2,,,,N1
R_1E4koh38uEgab7B,A9CSN7FSAX91X,b1,39,39,38,38,20,21,32.5,Keep everyone busy at all time / Do not leave anyone idle,Server shouldn't cook / Sous-Chef should do all cooking,Server should chop while Sous Chef cooks,Slightly difficult,Once a month,22,Female,4 year degree,Have the sous chef pick up the slack of the chef,Learn who is faster at what first and then assign task to worker who does it the fastest.,"The chefs did more of the cooking, the server chopped meat if there was no plating",I had to have the sous chef pick up the slack and make the server cook even though it took a while.,3,M1,"A0, A1",E0,N0
R_1FRg8DcNrl5PRvy,A3QW42Y2P0DLT7,b1,38,37,37,38,21,22,32.16666667,Keep everyone busy at all time / Do not leave anyone idle,Keep everyone busy at all time / Do not leave anyone idle,Make sure that everyone is doing something at all times.,Slightly difficult,Never,22,Female,High school graduate,I tried to estimate how many clicks everything would take altogether.,"Keep all workers busy,Intentionally leave some workers idle,Assign the same task to the same worker,Learn who is faster at what first and then assign task to worker who does it the fastest.",I generally tried to make the people who I knew would be faster at a job take that job.,I tried to make the server keep busy with cooking even though he was a lot slower at it.,2,,,,N0
