,ID,round,chef_order,chef_task,chef_left_ticks,sou_chef_order,sou_chef_task,sou_chef_left_ticks,server_order,server_task,server_left_ticks,ticks,order0_task0,order0_task1,order0_task2,order1_task0,order1_task1,order1_task2,order2_task0,order2_task1,order2_task2,order3_task0,order3_task1,order3_task2
0,R_2ypgoh2f2tpygT7,round_1_states,,,,,,,,,,0,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable
1,R_2ypgoh2f2tpygT7,round_1_states,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,1,chef,unavailable,unavailable,sou_chef,unavailable,unavailable,server,unavailable,unavailable,available,unavailable,unavailable
2,R_2ypgoh2f2tpygT7,round_1_states,,,,1.0,0.0,1.0,2.0,0.0,2.0,2,finished,available,unavailable,sou_chef,unavailable,unavailable,server,unavailable,unavailable,available,unavailable,unavailable
3,R_2ypgoh2f2tpygT7,round_1_states,0.0,1.0,4.0,,,,2.0,0.0,1.0,3,finished,chef,unavailable,finished,available,unavailable,server,unavailable,unavailable,available,unavailable,unavailable
4,R_2ypgoh2f2tpygT7,round_1_states,0.0,1.0,3.0,1.0,1.0,8.0,,,,4,finished,chef,unavailable,finished,sou_chef,unavailable,finished,available,unavailable,available,unavailable,unavailable
5,R_2ypgoh2f2tpygT7,round_1_states,0.0,1.0,2.0,1.0,1.0,7.0,2.0,1.0,12.0,5,finished,chef,unavailable,finished,sou_chef,unavailable,finished,server,unavailable,available,unavailable,unavailable
6,R_2ypgoh2f2tpygT7,round_1_states,0.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,11.0,6,finished,chef,unavailable,finished,sou_chef,unavailable,finished,server,unavailable,available,unavailable,unavailable
7,R_2ypgoh2f2tpygT7,round_1_states,,,,1.0,1.0,5.0,2.0,1.0,10.0,7,finished,finished,available,finished,sou_chef,unavailable,finished,server,unavailable,available,unavailable,unavailable
8,R_2ypgoh2f2tpygT7,round_1_states,0.0,2.0,6.0,1.0,1.0,4.0,2.0,1.0,9.0,8,finished,finished,chef,finished,sou_chef,unavailable,finished,server,unavailable,available,unavailable,unavailable
9,R_2ypgoh2f2tpygT7,round_1_states,0.0,2.0,5.0,1.0,1.0,3.0,2.0,1.0,8.0,9,finished,finished,chef,finished,sou_chef,unavailable,finished,server,unavailable,available,unavailable,unavailable
